accession,tax_selection,group,taxon_name,taxon_id,assembly_level,category,gs,k_gs,bb,k1_bb,hapaxes,entropy,genome_size,acgt_bases,gc_content,annotated_genes,protein_coding_genes,non_coding_genes
GCF_003253775.1,Bacteria,bacteria,Mycobacterium leprae,1769,Complete Genome,representative genome,0.186404326,9,0.076921404,21,99.503842218,0.348295618,3187112,3187112,58.0,2990,2328,51
GCF_001658025.2,Bacteria,bacteria,Kosakonia oryzae,497725,Complete Genome,representative genome,0.462537565,9,0.132498722,22,98.928996811,0.240464989,5416158,5416158,54.0,5147,4964,117
GCF_900105805.1,Bacteria,bacteria,Pseudomonas moraviensis,321662,Chromosome,representative genome,0.364503629,10,0.222462568,22,97.510955829,0.479444435,6092541,6092441,60.0,5434,5293,88
GCF_000803625.1,Bacteria,bacteria,Candidatus Nanosynbacter lyticus,2093824,Complete Genome,representative genome,0.216808768,8,0.052611792,19,99.7976231,0.374205515,705138,705138,44.5,754,702,49
GCF_000006765.1,Bacteria,bacteria,Pseudomonas aeruginosa PAO1,208964,Complete Genome,reference genome,0.309919435,10,0.130682336,22,98.669286132,0.417698819,6264404,6264404,66.5,5697,5572,106
GCF_000015045.1,Bacteria,bacteria,Pelobacter propionicus DSM 2379,338966,Complete Genome,representative genome,0.290133747,9,0.282468616,22,95.066936159,0.285872684,4241119,4241119,58.5,3927,3833,69
GCF_000520015.2,Bacteria,bacteria,Chania multitudinisentens RB-25,1441930,Complete Genome,representative genome,0.466897894,8,0.180503442,22,97.929689393,0.083910056,5488183,5488183,51.0,4961,4738,109
GCF_014489575.1,Bacteria,bacteria,Tessaracoccus defluvii,1285901,Complete Genome,representative genome,0.247924757,10,0.192186008,21,97.150594434,0.477643615,3864792,3864792,69.5,3760,3430,55
GCF_029953635.1,Bacteria,bacteria,Halotia branconii CENA392,1539056,Complete Genome,representative genome,0.217554467,10,0.262787095,22,95.930169079,0.469217572,7116433,7116433,40.5,6307,6077,59
GCF_008122265.1,Bacteria,bacteria,Marinobacter fonticola,2603215,Complete Genome,representative genome,0.231136289,9,0.105048902,22,99.216048751,0.27483085,4543926,4543926,58.0,4044,3956,66
GCF_022869865.1,Bacteria,bacteria,Arthrobacter zhangbolii,2886936,Complete Genome,representative genome,0.208033466,10,0.142938129,21,98.783624617,0.571902583,3464001,3464001,65.5,3244,3149,72
GCF_002116735.1,Bacteria,bacteria,Marinobacter salarius,1420917,Complete Genome,representative genome,0.274304875,9,0.112822475,22,99.113197547,0.270167591,4630160,4630160,57.0,4279,4201,63
GCF_001442805.1,Bacteria,bacteria,Lysobacter gummosus,262324,Complete Genome,representative genome,0.306736884,10,0.198266245,22,97.8928758,0.424646376,6056618,6056618,66.5,5037,4909,61
GCF_000025225.2,Bacteria,bacteria,Mageeibacillus indolicus UPII9-5,699246,Complete Genome,representative genome,0.257625327,8,0.130246549,20,98.454075368,0.195840598,1809746,1809746,44.0,1546,1460,54
GCF_020422925.2,Bacteria,bacteria,Borrelia hermsii,140,Complete Genome,representative genome,0.103079475,9,0.177894501,20,97.86094047,0.504596512,1161689,1161689,30.0,1096,1047,38
GCF_029961225.1,Bacteria,bacteria,Limosilactobacillus fermentum,1613,Complete Genome,representative genome,0.425869585,8,0.352513058,21,93.041096073,0.176140796,2103331,2103331,51.5,2148,1991,76
GCF_022919175.1,Bacteria,bacteria,Leucobacter rhizosphaerae,2932245,Complete Genome,representative genome,0.279428579,9,0.082214338,21,99.384926597,0.268891881,3337834,3337834,69.5,3098,3009,58
GCF_000200595.1,Bacteria,bacteria,Helicobacter felis ATCC 49179,936155,Complete Genome,representative genome,0.441693041,8,0.146970821,20,98.01332026,0.204994767,1672681,1672680,44.5,1705,1641,45
GCF_001583435.1,Bacteria,bacteria,Endozoicomonas montiporae CL-33,570277,Chromosome,representative genome,0.434761641,9,0.459454948,22,88.6928261,0.242278223,5430256,5419472,48.5,5017,4772,141
GCF_003963555.1,Bacteria,bacteria,Streptococcus periodonticum,2490633,Complete Genome,representative genome,0.177612149,9,0.169560176,20,98.205846743,0.460925921,1903815,1903815,39.0,1875,1743,74
GCF_026870155.1,Bacteria,bacteria,Flavobacterium marginilacus,3003256,Complete Genome,representative genome,0.16873157,10,0.326150771,22,95.047597349,0.505457106,5319561,5319561,34.5,4426,4292,83
GCF_947251465.1,Bacteria,bacteria,Wolbachia endosymbiont (group B) of Melanostoma mellinum,2954030,Complete Genome,representative genome,0.165821919,10,0.501946359,20,81.022385744,0.685252089,1875946,1875946,34.0,1747,1597,41
GCF_947250615.1,Bacteria,bacteria,Wolbachia endosymbiont (group B) of Rhopobota naevana,2954054,Complete Genome,representative genome,0.150042217,10,0.410272028,20,84.938619129,0.701705314,1771989,1771989,34.5,1694,1565,42
GCF_009769165.1,Bacteria,bacteria,Xanthomonas hyacinthi,56455,Complete Genome,representative genome,0.282573685,10,0.187190191,22,97.86656576,0.448342804,4963026,4963026,68.0,4389,4100,63
GCF_007752535.1,Bacteria,bacteria,Tautonia plasticadhaerens,2527974,Chromosome,representative genome,0.253362928,10,0.280200608,23,95.328447031,0.305017599,9395224,9395124,71.0,7605,7424,86
GCF_000017865.1,Bacteria,bacteria,Pseudothermotoga lettingae TMO,416591,Complete Genome,representative genome,0.194350624,9,0.072535313,21,99.736058543,0.429573885,2135342,2135342,38.5,2147,2089,52
GCF_014054965.1,Bacteria,bacteria,Neisseria shayeganii,607712,Complete Genome,representative genome,0.465745108,9,0.302339738,21,95.943545628,0.386922654,2419744,2419744,58.0,2505,2330,73
GCF_001997345.1,Bacteria,bacteria,Tessaracoccus aquimaris,1332264,Complete Genome,representative genome,0.275201509,9,0.179921922,21,98.048785695,0.244172268,3934699,3934699,69.0,3709,3518,53
GCF_000612055.1,Bacteria,bacteria,Trueperella pyogenes,1661,Complete Genome,representative genome,0.182531658,9,0.066645617,21,99.689399026,0.417559985,2338390,2338390,59.5,2130,2059,55
GCF_009025875.1,Bacteria,bacteria,Latilactobacillus graminis,60519,Complete Genome,representative genome,0.185884842,9,0.186466642,20,97.588462605,0.480662478,1807083,1807083,40.5,1777,1672,85
GCF_003815975.1,Bacteria,bacteria,Chryseobacterium bernardetii,1241978,Complete Genome,representative genome,0.19852155,10,0.178277408,22,98.21380123,0.512305843,5318634,5318634,36.5,4878,4741,119
GCF_900087655.1,Bacteria,bacteria,Propionibacterium freudenreichii,1744,Complete Genome,representative genome,0.256097953,9,0.148066716,21,98.341993835,0.330833604,2507188,2507188,67.5,2219,2132,54
GCF_004124315.2,Bacteria,bacteria,Bacillus cabrialesii,2487276,Complete Genome,representative genome,0.326713654,9,0.209090081,21,98.057587175,0.292851518,4125766,4125766,44.0,4220,4001,121
GCF_013409125.2,Bacteria,bacteria,Pseudomonas sediminis,1691904,Complete Genome,representative genome,0.322461539,10,0.1248828,22,99.010761257,0.511154383,4934017,4934017,62.5,4626,4521,83
GCF_000582535.1,Bacteria,bacteria,Candidatus Hepatoplasma crinochetorum Av,1427984,Complete Genome,representative genome,0.108644743,9,0.235808006,19,96.107036706,0.482339749,657101,657101,22.5,618,582,34
GCF_019186805.1,Bacteria,bacteria,Comamonas fluminis,2796366,Complete Genome,representative genome,0.374745872,9,0.224008225,22,97.39005177,0.252914911,4908875,4908875,59.5,4507,4354,120
GCF_901482605.1,Bacteria,bacteria,Hathewaya histolytica,1498,Complete Genome,representative genome,0.125371073,10,0.270715015,21,96.035349177,0.569439044,2740791,2740791,29.5,2689,2550,125
GCF_022788655.1,Bacteria,bacteria,Sulfitobacter indolifex,225422,Complete Genome,representative genome,0.284267832,9,0.131195568,22,98.278699858,0.275069056,4498570,4498570,59.0,4368,4228,65
GCF_900099705.1,Bacteria,bacteria,Agrococcus jejuensis,399736,Chromosome,representative genome,0.357932053,9,0.140649366,21,98.53711276,0.203052498,3400178,3400078,72.5,3290,3214,53
GCF_016584445.1,Bacteria,bacteria,Rhodopseudomonas palustris,1076,Complete Genome,representative genome,0.315160813,10,0.097900735,22,99.2113606,0.462158913,5457289,5457289,65.0,5027,4921,59
GCF_002074095.1,Bacteria,bacteria,Bacillus licheniformis,1402,Complete Genome,representative genome,0.416190523,9,0.161998278,22,98.809213472,0.282695194,4342466,4342466,46.0,4474,4289,112
GCF_014490055.1,Bacteria,bacteria,Saccharopolyspora spinosa,60894,Complete Genome,representative genome,0.241630362,10,0.333154815,23,92.654476532,0.350238129,8876435,8876435,68.0,8023,7670,75
GCF_000023465.1,Bacteria,bacteria,Zunongwangia profunda SM-A87,655815,Complete Genome,representative genome,0.138327729,10,0.146909441,22,98.419532441,0.536185602,5128187,5128187,36.0,4487,4384,60
GCF_003815615.1,Bacteria,bacteria,Chryseobacterium shandongense,1493872,Complete Genome,representative genome,0.188146974,10,0.135820187,22,98.556457464,0.5630362,4390955,4390955,37.0,3969,3866,84
GCF_000024885.1,Bacteria,bacteria,Sulfurospirillum deleyianum DSM 6946,525898,Complete Genome,representative genome,0.237719611,9,0.220744511,21,96.979444841,0.401666057,2306351,2306351,39.0,2343,2281,56
GCF_008806995.1,Bacteria,bacteria,Neisseria animalis,492,Complete Genome,representative genome,0.617774799,8,0.328354031,21,95.850525949,0.167402916,2236930,2236930,52.0,2089,1991,79
GCF_030644225.1,Bacteria,bacteria,Selenomonas dianae,135079,Complete Genome,representative genome,0.403658116,9,0.151790392,21,98.214646398,0.396961203,2391311,2391311,56.5,2318,2207,74
GCF_017167965.1,Bacteria,bacteria,Pseudomonas atacamensis,2565368,Complete Genome,representative genome,0.36823735,10,0.180747164,22,98.659245648,0.482916295,5990776,5990776,60.0,5468,5336,85
GCF_008000755.1,Bacteria,bacteria,Youhaiella tibetensis,1447062,Complete Genome,representative genome,0.284880793,9,0.089495353,22,99.366919049,0.259309299,4430734,4430734,65.0,4380,4285,58
GCF_030291635.1,Bacteria,bacteria,Pseudomonas kurunegalensis,485880,Complete Genome,representative genome,0.329942266,10,0.224534357,22,97.670938645,0.471751343,6133480,6133480,62.0,5590,5451,97
GCF_002865605.1,Bacteria,bacteria,Paracoccus jeotgali,2065379,Complete Genome,representative genome,0.320216573,9,0.177588588,21,98.081872557,0.292385063,3299166,3299166,66.5,3223,3092,56
GCF_001761385.1,Bacteria,bacteria,Hydrogenophaga crassostreae,1763535,Complete Genome,representative genome,0.317549997,9,0.123171176,22,99.09720878,0.2449366,4944132,4944132,61.5,4606,4504,54
GCF_000709555.1,Bacteria,bacteria,Candidatus Walczuchella monophlebidarum,1415657,Complete Genome,representative genome,0.069082135,8,0.05796644,18,99.801475676,0.542490828,309299,309299,32.5,328,269,39
GCF_001953175.1,Bacteria,bacteria,Dehalogenimonas formicexedens,1839801,Complete Genome,representative genome,0.314514476,8,0.211619203,20,95.78214318,0.175793103,2092789,2092789,54.0,2169,2095,53
GCF_014268755.2,Bacteria,bacteria,Pseudomonas vanderleydeniana,2745495,Complete Genome,representative genome,0.312025711,10,0.15694766,22,98.563008279,0.436616356,7026924,7026924,63.0,6353,6190,93
GCF_009914055.1,Bacteria,bacteria,Mixta intestinalis,1615494,Complete Genome,representative genome,0.485486207,9,0.141894261,22,98.696371923,0.261815217,4784919,4784919,53.5,4460,4250,115
GCF_024296885.1,Bacteria,bacteria,Bacillus paranthracis,2026186,Complete Genome,representative genome,0.131140918,10,0.222153298,22,97.854317901,0.513236502,5537675,5537675,35.5,5740,5444,148
GCF_003534205.1,Bacteria,bacteria,Listeria weihenstephanensis,1006155,Complete Genome,representative genome,0.193435743,9,0.195584401,21,97.737144226,0.332082334,3406292,3406292,41.5,3257,3148,93
GCF_003999585.1,Bacteria,bacteria,Wolbachia endosymbiont of Bemisia tabaci,215173,Chromosome,representative genome,0.113024477,9,0.295686968,20,91.764271582,0.53649638,1306495,1206044,34.0,1226,1110,44
GCF_017948325.1,Bacteria,bacteria,Brevibacterium oceani,358099,Complete Genome,representative genome,0.296788921,9,0.124205694,22,98.916635961,0.2538956,4304299,4304299,65.5,3812,3723,62
GCF_019645835.1,Bacteria,bacteria,Mycolicibacterium holsaticum DSM 44478 = JCM 12374,1226752,Complete Genome,representative genome,0.260410716,10,0.082012465,22,99.357699647,0.439626889,5623714,5623714,67.0,5366,5244,56
GCF_000143685.1,Bacteria,bacteria,Clostridium ljungdahlii DSM 13528,748727,Complete Genome,representative genome,0.134388141,10,0.23020583,22,96.726035433,0.493598938,4630065,4630065,31.0,4338,4185,106
GCF_900291985.1,Bacteria,bacteria,Lysinibacillus timonensis,2086577,Chromosome,representative genome,0.122654116,10,0.335207487,22,94.688623504,0.57698623,4220244,4219301,35.5,4000,3774,188
GCF_021390075.1,Bacteria,bacteria,Cytobacillus spongiae,2901381,Complete Genome,representative genome,0.149543908,10,0.219657458,22,97.860935321,0.571119666,4789051,4789051,39.0,4836,4629,147
GCF_900105065.1,Bacteria,bacteria,Friedmanniella luteola,546871,Chromosome,representative genome,0.265426276,10,0.101978028,22,99.058800935,0.354754908,4717614,4717514,73.5,4404,4320,57
GCF_010731875.1,Bacteria,bacteria,Mycolicibacterium sarraceniae,1534348,Complete Genome,representative genome,0.232183787,10,0.228721061,22,96.100085456,0.4943016,4828255,4828255,66.0,4858,4376,55
GCF_004359355.1,Bacteria,bacteria,Bradyrhizobium diazoefficiens,1355477,Complete Genome,representative genome,0.304071491,10,0.171839445,23,98.262156945,0.380717288,8910608,8910608,64.0,8363,8112,60
GCF_025215495.1,Bacteria,bacteria,Mycolicibacterium brumae,85968,Complete Genome,representative genome,0.252676257,10,0.146161946,21,98.245430631,0.476966844,3988920,3988920,69.0,3851,3711,57
GCF_000508245.1,Bacteria,bacteria,Mycoplasma ovis str. Michigan,1415773,Complete Genome,representative genome,0.160903865,8,0.176628021,19,96.864310392,0.338426174,702511,702511,31.5,826,786,36
GCF_012923785.1,Bacteria,bacteria,Phytobacter diazotrophicus,395631,Complete Genome,representative genome,0.406554531,9,0.158805246,22,98.57549806,0.237898315,5527237,5527237,53.0,5244,5041,110
GCF_004216495.1,Bacteria,bacteria,Mycoplasmopsis phocirhinis,142650,Complete Genome,representative genome,0.093015842,9,0.25517504,19,96.0344467,0.529060479,865472,865472,27.5,731,687,41
GCF_014211955.1,Bacteria,bacteria,Croceicoccus marinus,450378,Complete Genome,representative genome,0.30518938,9,0.189743989,22,96.622030015,0.264564891,4268603,4268603,64.5,4086,3953,57
GCF_020229735.1,Bacteria,bacteria,Deinococcus taeanensis,2737050,Complete Genome,representative genome,0.212621111,10,0.161495669,22,98.342004297,0.480047075,4618413,4618413,68.0,4322,4157,65
GCF_019139835.1,Bacteria,bacteria,Pseudomonas xanthosomatis,2842356,Complete Genome,representative genome,0.339757912,10,0.287602395,22,96.135997469,0.449839327,5987104,5987104,64.0,5293,5128,98
GCF_020985365.1,Bacteria,bacteria,Chryseobacterium faecale,2852098,Complete Genome,representative genome,0.253038628,9,0.047108406,21,99.809326704,0.381336935,2658494,2658494,39.5,2498,2442,46
GCF_017347605.1,Bacteria,bacteria,Prevotella herbatica,2801997,Complete Genome,representative genome,0.124036956,10,0.195356372,21,97.211249081,0.626718084,3524789,3524789,37.5,2726,2636,75
GCF_003855455.1,Bacteria,bacteria,Mycoplasma struthionis,538220,Complete Genome,representative genome,0.134171468,9,0.405324012,19,87.697082187,0.521636017,737591,737591,26.0,697,644,46
GCF_009931455.1,Bacteria,bacteria,Cobetia pacifica,1055101,Complete Genome,representative genome,0.313807723,10,0.191142234,22,98.110110091,0.545334428,4195186,4195186,62.5,3514,3394,97
GCF_008838325.1,Bacteria,bacteria,Tepidiforma bonchosmolovskayae,2601677,Complete Genome,representative genome,0.219863938,9,0.103136829,21,99.456447348,0.30656629,2746948,2746948,70.0,2747,2689,53
GCF_007744255.1,Bacteria,bacteria,Thalassoglobus polymorphus,2527994,Chromosome,representative genome,0.501815428,8,0.165270474,22,98.026854271,0.074850162,6357355,6354415,50.5,4647,4591,49
GCF_001310085.1,Bacteria,bacteria,Rufibacter tibetensis,512763,Complete Genome,representative genome,0.363856054,9,0.098477174,22,99.139986596,0.241899568,5413467,5413467,47.5,4402,4328,60
GCF_017301775.1,Bacteria,bacteria,Xanthomonas translucens pv. undulosa,487909,Complete Genome,representative genome,0.292011273,10,0.253812174,22,96.193574475,0.456375896,4649333,4649333,68.0,4041,3797,63
GCF_017487345.1,Bacteria,bacteria,Brevundimonas pondensis,2774189,Complete Genome,representative genome,0.278152775,9,0.071953196,21,99.532915844,0.282676483,3550773,3550773,67.0,3533,3439,58
GCF_029094545.1,Bacteria,bacteria,Alkalihalophilus pseudofirmus,79885,Complete Genome,representative genome,0.144769657,10,0.210836492,22,98.078398746,0.60673665,4239319,4239319,40.0,4384,4221,121
GCF_013376475.1,Bacteria,bacteria,Desulfolutivibrio sulfoxidireducens,2773299,Complete Genome,representative genome,0.301158348,10,0.216701527,21,97.460050098,0.529828489,4155851,4155851,64.0,3652,3559,61
GCF_001005905.1,Bacteria,bacteria,Salinicoccus halodurans,407035,Complete Genome,representative genome,0.307160654,8,0.173229559,21,97.265508165,0.142577433,2778379,2778379,44.5,2871,2751,77
GCF_900108565.1,Bacteria,bacteria,Mycolicibacterium rutilum,370526,Chromosome,representative genome,0.271164188,10,0.126126861,22,98.571647826,0.408618042,5987931,5987831,68.5,5875,5731,55
GCF_019599145.1,Bacteria,bacteria,Streptomyces akebiae,2865673,Complete Genome,representative genome,0.232969108,10,0.157645455,23,98.062228383,0.285672346,10549378,10549378,71.0,9124,8717,91
GCF_005671335.1,Bacteria,bacteria,Halalkalibacterium halodurans,86665,Complete Genome,representative genome,0.227263419,9,0.338361774,22,95.014323673,0.283810445,4315604,4315604,43.5,4251,4059,108
GCF_000454545.1,Bacteria,bacteria,Xanthomonas cassavae CFBP 4642,1219375,Chromosome,representative genome,0.294503651,10,0.284932451,22,96.317446395,0.472281438,5270756,5262797,65.0,4756,4322,107
GCF_008728855.1,Bacteria,bacteria,Hypericibacter terrae,2602015,Complete Genome,representative genome,0.310642875,10,0.167003237,22,98.36200524,0.43349385,5894118,5894118,66.0,5411,5322,60
GCF_001889045.1,Bacteria,bacteria,Tenacibaculum todarodis,1850252,Complete Genome,representative genome,0.174739875,10,0.275140879,21,95.689542103,0.556000824,3019213,3019213,30.5,2740,2679,54
GCF_024971095.1,Bacteria,bacteria,Microbacterium neungamense,2810535,Complete Genome,representative genome,0.289793438,9,0.20952868,21,97.151259884,0.27814242,2546128,2546128,71.5,2495,2314,54
GCF_026210475.1,Bacteria,bacteria,Cupriavidus cauae,2608999,Complete Genome,representative genome,0.283588917,10,0.157422797,22,98.31952945,0.420705474,5803119,5803119,67.5,5088,4918,72
GCF_014058685.1,Bacteria,bacteria,Lactobacillus johnsonii,33959,Complete Genome,representative genome,0.137763411,10,0.292651949,20,95.578806147,0.694576869,1951416,1951416,34.5,1875,1741,103
GCF_026168555.1,Bacteria,bacteria,Qipengyuania spongiae,2909673,Complete Genome,representative genome,0.284360143,9,0.04361924,21,99.813867438,0.334186129,2932896,2932896,64.5,2918,2829,52
GCF_000242635.2,Bacteria,bacteria,Solitalea canadensis DSM 3403,929556,Complete Genome,representative genome,0.147952523,10,0.184618205,22,97.99254063,0.540430939,5202069,5202069,37.5,4456,4366,75
GCF_001886855.1,Bacteria,bacteria,Spiroplasma citri,2133,Complete Genome,representative genome,0.127129349,10,0.525924056,20,71.658831144,0.576948829,1640878,1640878,25.5,2150,2057,38
GCF_009184865.1,Bacteria,bacteria,Streptomyces phaeolivaceus,2653200,Complete Genome,representative genome,0.230077212,10,0.198031648,23,97.839769578,0.292279956,10175440,10175440,71.0,9092,8613,89
GCF_001698185.1,Bacteria,bacteria,Bordetella pseudohinzii,1331258,Complete Genome,representative genome,0.271889257,10,0.128460848,22,98.848086436,0.488808997,4558891,4558891,66.5,4279,4189,73
GCF_010725485.1,Bacteria,bacteria,Mycolicibacterium parafortuitum,39692,Complete Genome,representative genome,0.27756782,10,0.097231549,22,99.168108,0.403418274,6044196,6044196,68.5,5736,5602,56
GCF_000236925.1,Bacteria,bacteria,Staphylococcus argenteus,985002,Complete Genome,representative genome,0.096275478,10,0.169091941,21,97.873370078,0.623200974,2787638,2787636,32.5,2684,2531,77
GCF_014899185.1,Bacteria,bacteria,Pseudopuniceibacterium antarcticum,2613965,Complete Genome,representative genome,0.288843969,9,0.097281815,22,99.141798908,0.267351819,4365781,4365781,63.5,4142,4022,62
GCF_002173515.1,Bacteria,bacteria,Komagataeibacter europaeus,33995,Complete Genome,representative genome,0.331679481,9,0.221080959,21,96.439962347,0.293752727,3797909,3797909,61.5,3487,3309,77
GCF_019774635.1,Bacteria,bacteria,Streptococcus halichoeri,254785,Complete Genome,representative genome,0.211594239,9,0.2573676,20,96.221621947,0.453236665,2026498,2026498,41.5,1894,1731,91
GCF_022343725.1,Bacteria,bacteria,Macrococcus brunensis,198483,Complete Genome,representative genome,0.233047426,9,0.213130036,21,97.503031445,0.439993174,2123615,2123615,42.0,2268,2160,81
GCF_007559005.1,Bacteria,bacteria,Gordonia zhaorongruii,2597659,Complete Genome,representative genome,0.287937636,9,0.076762432,21,99.458747724,0.286453909,3233079,3233079,67.0,3006,2914,61
GCF_003344445.1,Bacteria,bacteria,Streptomyces lincolnensis,1915,Complete Genome,representative genome,0.242636466,10,0.11166109,23,99.124433772,0.297633101,9513637,9513637,71.0,8586,8291,90
GCF_900105475.1,Bacteria,bacteria,Pseudomonas asplenii,53407,Chromosome,representative genome,0.309654496,10,0.158324187,22,98.285890803,0.468798608,6529636,6529536,61.0,5763,5592,93
GCF_000091465.1,Bacteria,bacteria,Vibrio atlanticus,693153,Complete Genome,representative genome,0.225788465,9,0.179440366,22,98.108236431,0.256655189,4974818,4974818,44.0,4409,4197,143
GCF_001741865.1,Bacteria,bacteria,Bosea vaviloviae,1526658,Complete Genome,representative genome,0.332274901,10,0.199651119,22,97.999688389,0.412919028,6713548,6713548,65.5,6338,6181,59
GCF_020844025.1,Bacteria,bacteria,Acidithiobacillus ferriphilus,1689834,Complete Genome,representative genome,0.244965367,9,0.183306299,21,96.716313286,0.398420381,2539320,2539320,57.0,2548,2445,57
GCF_000325705.1,Bacteria,bacteria,Echinicola vietnamensis DSM 17526,926556,Complete Genome,representative genome,0.328732342,9,0.185514426,22,97.573546024,0.237193065,5608040,5608040,45.0,4499,4407,60
GCF_001854125.1,Bacteria,bacteria,Marinobacter salinus,1874317,Complete Genome,representative genome,0.277487471,9,0.11223336,21,99.079879951,0.29164311,4121005,4121005,56.0,3817,3731,65
GCF_014489615.1,Bacteria,bacteria,Streptomyces genisteinicus,2768068,Complete Genome,representative genome,0.220024622,10,0.175355711,22,97.74209019,0.293973639,8188347,8188347,73.5,6816,6626,89
GCF_025133195.1,Bacteria,bacteria,Yersinia alsatica,2890317,Complete Genome,representative genome,0.38085111,8,0.138551168,22,98.800153018,0.091346658,4901396,4901396,47.5,4435,4273,118
GCF_002952315.1,Bacteria,bacteria,Erwinia pyrifoliae,79967,Complete Genome,representative genome,0.419969336,9,0.294959019,21,93.737521895,0.292658021,4075681,4075681,53.5,3803,3523,112
GCF_000830905.1,Bacteria,bacteria,Dehalococcoides mccartyi CG4,1432060,Complete Genome,representative genome,0.495287511,8,0.032614412,20,99.891194967,0.2387938,1382308,1382308,48.5,1460,1401,52
GCF_001983935.1,Bacteria,bacteria,Fuerstiella marisgermanici,1891926,Complete Genome,representative genome,0.4009676,9,0.297979809,23,96.123516556,0.168866836,8920478,8920478,56.0,6331,6218,65
GCF_024347495.1,Bacteria,bacteria,Vibrio gallaecicus,552386,Complete Genome,representative genome,0.187412326,10,0.317605279,22,95.926647867,0.561018097,5126655,5126655,41.5,4571,4346,180
GCF_014217805.1,Bacteria,bacteria,Adhaeribacter swui,2086471,Complete Genome,representative genome,0.397944847,9,0.101483877,22,99.263345331,0.218869368,6225914,6225914,43.0,4913,4842,55
GCF_018141665.1,Bacteria,bacteria,Wolbachia endosymbiont of Spodoptera picta,2769078,Complete Genome,representative genome,0.110905208,9,0.256239553,20,94.166459531,0.512663054,1339720,1339720,34.0,1281,1173,41
GCF_002736145.1,Bacteria,bacteria,Collinsella aerofaciens,74426,Complete Genome,representative genome,0.247090821,9,0.175774987,21,97.996599791,0.415865812,2306349,2306349,60.0,1988,1904,76
GCF_000227665.2,Bacteria,bacteria,Thiomicrospira aerophila AL3,717772,Complete Genome,representative genome,0.33662177,8,0.113164562,21,99.108017786,0.172491378,2158359,2158359,46.0,2104,2047,50
GCF_000012565.1,Bacteria,bacteria,Ehrlichia canis str. Jake,269484,Complete Genome,representative genome,0.102324457,9,0.18422381,20,97.740627265,0.464077619,1315030,1315030,29.0,992,939,42
GCF_022557255.1,Bacteria,bacteria,Pseudomonas syringae pv. tagetis,129140,Complete Genome,representative genome,0.326601686,9,0.157534032,22,98.143916423,0.222905494,6083305,6083305,58.0,5493,5272,83
GCF_024072275.1,Bacteria,bacteria,Pseudomonas siliginis,2842346,Complete Genome,representative genome,0.366148377,10,0.199563455,22,98.26349229,0.482210013,6095266,6095266,60.0,5515,5388,88
GCF_016599755.1,Bacteria,bacteria,Corynebacterium kefirresidentii,1979527,Complete Genome,representative genome,0.211304291,9,0.126026929,21,98.67559249,0.400733514,2523206,2523206,58.5,2390,2304,65
GCF_012567955.1,Bacteria,bacteria,Enterobacteriaceae endosymbiont of Donacia bicoloricornis,2675772,Chromosome,representative genome,0.043137295,6,0.102620427,18,99.307357592,0.063575054,463713,454761,20.5,447,401,39
GCF_018885085.1,Bacteria,bacteria,Clostridioides difficile,1496,Complete Genome,representative genome,0.139161723,10,0.23103575,21,97.209542728,0.473092502,4095894,4095894,28.5,3732,3567,129
GCF_900343145.1,Bacteria,bacteria,Tessaracoccus timonensis,2161816,Complete Genome,representative genome,0.229679082,9,0.130000168,21,98.535002066,0.346958949,2759000,2759000,64.5,2630,2533,51
GCF_018398935.1,Bacteria,bacteria,Telmatocola sphagniphila,1123043,Complete Genome,representative genome,0.396807438,9,0.238766957,22,96.741310244,0.211010464,6592641,6592641,52.5,5253,5168,54
GCF_002073495.2,Bacteria,bacteria,Leptospira interrogans serovar Copenhageni,44275,Complete Genome,representative genome,0.192505454,10,0.266753152,22,96.1677458,0.532840988,4630763,4630763,35.0,3776,3652,44
GCF_900095885.1,Bacteria,bacteria,Dickeya aquatica,1401087,Complete Genome,representative genome,0.430599032,9,0.216415091,22,96.302264625,0.274414607,4501560,4501560,53.5,4086,3882,103
GCF_009734445.1,Bacteria,bacteria,Candidatus Syntrophocurvum alkaliphilum,2293317,Complete Genome,representative genome,0.116877492,9,0.224423854,21,96.86537519,0.380986347,2360781,2360781,32.5,2314,2250,53
GCF_003812505.1,Bacteria,bacteria,Staphylococcus hominis,1290,Complete Genome,representative genome,0.093316701,10,0.21679569,21,97.590427094,0.649904974,2257431,2257431,31.5,2260,2141,85
GCF_004802635.2,Bacteria,bacteria,Methylocystis heyeri,391905,Complete Genome,representative genome,0.294239846,10,0.190459021,22,97.633809073,0.519193938,4727788,4727788,63.0,4295,4180,66
GCF_000009985.1,Bacteria,bacteria,Magnetospirillum magneticum AMB-1,342108,Complete Genome,representative genome,0.295867794,10,0.227127272,22,97.341992686,0.487195444,4967148,4967115,65.0,4749,4625,60
GCF_015140235.1,Bacteria,bacteria,Solibaculum mannosilyticum,2780922,Complete Genome,representative genome,0.40994877,8,0.126851881,21,98.581402614,0.152268715,2541474,2541474,50.5,2359,2274,69
GCF_001997385.1,Bacteria,bacteria,Sedimentisphaera cyanobacteriorum,1940790,Complete Genome,representative genome,0.418708317,8,0.300344458,21,95.231554778,0.136486861,2951611,2951611,46.0,2343,2266,56
GCF_018324105.1,Bacteria,bacteria,Acinetobacter bouvetii,202951,Complete Genome,representative genome,0.457655037,9,0.17820054,21,98.167228756,0.328713926,3399245,3399245,45.0,3222,3065,112
